,PROJECT_ID,SHIPMENT_NUMBER,CARRIER_DISPLAY_ID,VEHICLE_SIZE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_EARLIEST_lcl,FIRST_COLLECTION_SCHEDULE_LATEST_lcl,LAST_DELIVERY_SCHEDULE_EARLIEST_lcl,LAST_DELIVERY_SCHEDULE_LATEST_lcl,LAST_DELIVERY_SCHEDULE_LATEST_lcl_plus30,distance,LAT,LON,RECORD_TIMESTAMP_lcl,on_time,is_delivered,is_delivered_2,is_delivered_3,Model_Target
0,09585ac3-30ad-4115-b56c-878a25db4b76,SEZHUK-231212-272534,CAUK000034,Tractor Unit,Curtain Side,MK42 0PE,M11 4BD,52.11951,-0.429752,53.483017,-2.193588,2023-12-12 14:00:00+00:00,2023-12-12 15:00:00+00:00,2023-12-12 19:00:00+00:00,2023-12-12 20:00:00+00:00,2023-12-12 20:30:00+00:00,0.15975679454073288,53.48178666666671,-2.19483333333333,2023-12-13 08:03:00+00:00,0,1.0,1.0,1.0,1
1,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-230928-248367,CAUK000222,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CV10 7SD,52.800481,-1.663328,52.49617,-1.477705,2023-09-29 14:00:00+00:00,2023-10-02 12:00:00+00:00,2023-10-02 08:00:00+00:00,2023-10-02 12:00:00+00:00,2023-10-02 12:30:00+00:00,0.2717418816718832,52.497515,-1.481055,2023-10-02 05:57:00+00:00,1,1.0,1.0,1.0,0
2,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-230928-248368,CAUK000222,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,B69 3EH,52.800481,-1.663328,52.509485,-2.020513,2023-10-04 14:00:00+00:00,2023-10-05 16:00:00+00:00,2023-10-05 12:00:00+00:00,2023-10-05 16:00:00+00:00,2023-10-05 16:30:00+00:00,0.040907189353014066,52.5092986099699,-2.0199920924043,2023-10-05 08:01:00+00:00,1,1.0,1.0,1.0,0
3,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-230929-248494,CAUK000618,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,PA4 8DJ,52.800481,-1.663328,55.873398,-4.404767,2023-10-02 13:00:00+00:00,2023-10-02 13:30:00+00:00,2023-10-03 07:30:00+00:00,2023-10-03 08:00:00+00:00,2023-10-03 08:30:00+00:00,0.5592211490316183,55.8691777511639,-4.39989673727492,2023-10-03 07:34:00+00:00,1,1.0,1.0,1.0,0
4,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-231002-249266,CAUK000235,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,SO16 0AW,52.800481,-1.663328,50.933604,-1.471132,2023-10-03 18:00:00+00:00,2023-10-03 18:00:00+00:00,2023-10-04 05:30:00+00:00,2023-10-04 06:00:00+00:00,2023-10-04 06:30:00+00:00,0.03192791085476675,50.9337169824862,-1.47155070157993,2023-10-03 19:01:00+00:00,1,1.0,1.0,1.0,0
5,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-231003-249583,CAUK001028,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,HA4 0HG,52.800481,-1.663328,51.557511,-0.397204,2023-10-04 14:00:00+00:00,2023-10-04 15:00:00+00:00,2023-10-05 09:30:00+00:00,2023-10-05 10:00:00+00:00,2023-10-05 10:30:00+00:00,19.744958042067058,51.7310352,-0.3368877,2023-10-04 13:00:00+00:00,1,0.0,0.0,0.0,1
6,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-231003-249590,CAUK000297,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,ML1 5GH,52.690284,-1.548894,55.83161,-3.935916,2023-10-04 12:30:00+00:00,2023-10-04 13:30:00+00:00,2023-10-05 10:30:00+00:00,2023-10-05 11:00:00+00:00,2023-10-05 11:30:00+00:00,375.55771120953267,52.8233061963692,-1.30478513427079,2023-10-04 11:42:00+00:00,1,0.0,0.0,0.0,1
7,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-231006-250819,CAUK000349,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CR0 3AF,52.800481,-1.663328,51.390138,-0.132691,2023-10-09 11:00:00+00:00,2023-10-09 11:30:00+00:00,2023-10-10 11:00:00+00:00,2023-10-10 11:30:00+00:00,2023-10-10 12:00:00+00:00,0.11138794563680553,51.3893476,-0.1336764,2023-10-10 06:44:00+00:00,1,1.0,1.0,1.0,0
8,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-231009-251212,CAUK000096,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,ME10 2FD,52.690284,-1.548894,51.371411,0.745506,2023-10-11 06:00:00+00:00,2023-10-11 06:00:00+00:00,2023-10-11 12:10:00+00:00,2023-10-11 12:40:00+00:00,2023-10-11 13:10:00+00:00,0.1460168064577063,51.371432103336,0.743403415612648,2023-10-11 10:56:00+00:00,1,1.0,1.0,1.0,0
9,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-231010-251400,CAUK001028,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,DA2 6QR,52.690284,-1.548894,51.457403,0.258376,2023-10-11 14:00:00+00:00,2023-10-11 14:30:00+00:00,2023-10-12 06:30:00+00:00,2023-10-12 07:00:00+00:00,2023-10-12 07:30:00+00:00,33.72217110801349,51.692440942861104,-0.04975707270205,2023-10-11 13:16:00+00:00,1,0.0,0.0,0.0,1
10,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-231010-251402,CAUK000222,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,B11 2BH,52.800481,-1.663328,52.457304,-1.838779,2023-10-11 14:00:00+00:00,2023-10-11 14:30:00+00:00,2023-10-12 06:30:00+00:00,2023-10-12 07:00:00+00:00,2023-10-12 07:30:00+00:00,38.568548806029206,52.7893510861288,-1.67422984148597,2023-10-11 18:16:00+00:00,1,0.0,0.0,0.0,1
11,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-231010-251436,CAUK001028,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,SS17 9DY,52.800481,-1.663328,51.510091,0.459598,2023-10-11 14:00:00+00:00,2023-10-11 14:30:00+00:00,2023-10-12 07:30:00+00:00,2023-10-12 08:00:00+00:00,2023-10-12 08:30:00+00:00,0.12456875385666015,51.5104596409947,0.45789884403348,2023-10-12 06:20:00+00:00,1,1.0,1.0,1.0,0
12,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-231010-251439,CAUK001028,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,RM18 7NL,52.800481,-1.663328,51.455117,0.369212,2023-10-11 14:00:00+00:00,2023-10-11 14:30:00+00:00,2023-10-12 08:30:00+00:00,2023-10-12 09:00:00+00:00,2023-10-12 09:30:00+00:00,39.18794120667054,51.692440942861104,-0.04975707270205,2023-10-11 13:16:00+00:00,1,0.0,0.0,0.0,1
13,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-231011-251828,CAUK000310,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,ME10 2FD,52.690284,-1.548894,51.371411,0.745506,2023-10-13 11:00:00+00:00,2023-10-13 11:00:00+00:00,2023-10-13 17:10:00+00:00,2023-10-13 17:40:00+00:00,2023-10-13 18:10:00+00:00,0.1453183291744864,51.3713765916324,0.74341393018499,2023-10-13 15:20:00+00:00,1,1.0,1.0,1.0,0
14,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-231012-252169,CAUK000899,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,WF2 0XE,52.690284,-1.548894,53.713695,-1.519842,2023-10-13 15:00:00+00:00,2023-10-13 16:00:00+00:00,2023-10-16 06:10:00+00:00,2023-10-16 06:40:00+00:00,2023-10-16 07:10:00+00:00,107.05502019150317,52.7521156739277,-1.45080140895944,2023-10-13 17:54:00+00:00,1,0.0,0.0,0.0,1
15,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-231012-252189,CAUK000310,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,WA11 9LW,52.800481,-1.663328,53.468768,-2.729248,2023-10-16 06:00:00+00:00,2023-10-16 06:00:00+00:00,2023-10-16 09:30:00+00:00,2023-10-16 10:00:00+00:00,2023-10-16 10:30:00+00:00,3.8464019528523217,53.4729634087337,-2.67158097568449,2023-10-16 08:07:00+00:00,1,1.0,0.0,1.0,0
16,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-231013-252718,CAUK001028,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,ME10 2FD,52.690284,-1.548894,51.371411,0.745506,2023-10-16 13:39:00+00:00,2023-10-16 14:09:00+00:00,2023-10-17 07:10:00+00:00,2023-10-17 07:40:00+00:00,2023-10-17 08:10:00+00:00,0.13037175500172504,51.371006690897,0.74374370276928,2023-10-17 11:43:00+00:00,0,1.0,1.0,1.0,1
17,192cd5b5-978c-4681-b206-2f4d04e081ec,SEZHUK-231013-252807,CAUK001028,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,BN1 8AF,52.800481,-1.663328,50.86906,-0.12205,2023-10-16 12:00:00+00:00,2023-10-16 12:30:00+00:00,2023-10-17 12:00:00+00:00,2023-10-17 16:00:00+00:00,2023-10-17 16:30:00+00:00,0.11734747527768552,50.8695756364614,-0.123508432880044,2023-10-17 10:05:00+00:00,1,1.0,1.0,1.0,0
